Filtering the log data using "subsystem == "com.spatial.app.driver.speaker""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:04.347 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18160 clientID=413 bundleID=com.spatial.app clientReadCount=205 inputOnly=true stream=input frames=512 peak=0.278667 sample0=-0.006189 sample1=-0.012478 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.278667 writeMixSeq=14521
2026-05-09 22:13:04.517 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18176 clientID=413 bundleID=com.spatial.app clientReadCount=221 inputOnly=true stream=input frames=512 peak=0.388780 sample0=0.222183 sample1=0.388780 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.388780 writeMixSeq=14537
2026-05-09 22:13:04.611 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=14592 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.346867
2026-05-09 22:13:04.687 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18192 clientID=413 bundleID=com.spatial.app clientReadCount=237 inputOnly=true stream=input frames=512 peak=0.415130 sample0=-0.168055 sample1=-0.263522 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.415130 writeMixSeq=14553
2026-05-09 22:13:04.858 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18208 clientID=413 bundleID=com.spatial.app clientReadCount=253 inputOnly=true stream=input frames=512 peak=0.566013 sample0=0.018730 sample1=0.037160 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.566013 writeMixSeq=14569
2026-05-09 22:13:05.029 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18224 clientID=413 bundleID=com.spatial.app clientReadCount=269 inputOnly=true stream=input frames=512 peak=0.175023 sample0=-0.029152 sample1=-0.036650 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.175023 writeMixSeq=14585
2026-05-09 22:13:05.199 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18240 clientID=413 bundleID=com.spatial.app clientReadCount=285 inputOnly=true stream=input frames=512 peak=0.251760 sample0=0.066389 sample1=0.156946 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.251760 writeMixSeq=14601
2026-05-09 22:13:05.370 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18256 clientID=413 bundleID=com.spatial.app clientReadCount=301 inputOnly=true stream=input frames=512 peak=0.103805 sample0=0.000028 sample1=0.040350 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.103805 writeMixSeq=14617
2026-05-09 22:13:05.541 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18272 clientID=413 bundleID=com.spatial.app clientReadCount=317 inputOnly=true stream=input frames=512 peak=0.182798 sample0=0.061613 sample1=-0.026811 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.182798 writeMixSeq=14633
2026-05-09 22:13:05.635 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=14688 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.207886
